No | Time (HH:mm:ss) | % O2 in Effluent | Sequence Discreapancy
1 | 06:20:11 | 14.26 | 0
2 | 06:20:23 | 13.67 | 0
3 | 06:20:45 | 14.1 | 0.43
4 | 06:21:13 | 14.28 | 0.18
5 | 06:21:33 | 14.363 | 0.083
6 | 06:21:45 | 14.31 | -0.053
7 | 06:21:57 | 14.32 | 0.01
8 | 06:22:16 | 14.315 | -0.005
9 | 06:22:36 | 14.03 | -0.285
10 | 06:22:56 | 14.03 | 0.00
11 | 06:23:16 | 14.06 | 0.03
12 | 06:23:36 | 14.05 | -0.01
13 | 06:23:54 | 14.08 | 0.03
14 | 06:24:14 | 14.03 | -0.05
15 | 06:24:32 | 14.06 | 0.03
16 | 06:24:44 | 13.5 | -0.56
17 | 06:25:04 | 13.84 | 0.34
18 | 06:25:30 | 14.13 | 0.29
19 | 06:25:52 | 14.325 | 0.195
20 | 06:26:04 | 14.325 | 0.000
21 | 06:26:16 | 14.315 | -0.010
22 | 06:26:28 | 14.32 | 0.005
23 | 06:26:40 | 14.305 | -0.015
24 | 06:26:52 | 14.315 | 0.010
25 | 06:27:12 | 14.232 | -0.083
26 | 06:27:32 | 14.06 | -0.172
27 | 06:27:50 | 14.06 | 0.00
28 | 06:28:10 | 14.02 | -0.04
29 | 06:28:30 | 14.03 | 0.01
30 | 06:28:48 | 14.04 | 0.01
31 | 06:29:08 | 14.05 | 0.01
32 | 06:29:20 | 13.46 | -0.59
33 | 06:29:32 | 13.67 | 0.21
34 | 06:29:58 | 14.1 | 0.43
35 | 06:30:22 | 14.351 | 0.251
36 | 06:30:34 | 14.31 | -0.041
37 | 06:30:46 | 14.295 | -0.015
38 | 06:30:58 | 14.295 | 0.000
39 | 06:31:21 | 14.267 | -0.028
40 | 06:31:41 | 14.03 | -0.237
41 | 06:32:01 | 14.03 | 0.00
42 | 06:32:23 | 14 | -0.03
43 | 06:32:43 | 14.04 | 0.04
44 | 06:33:03 | 14.05 | 0.01
45 | 06:33:15 | 14.76 | 0.71
46 | 06:33:31 | 14.17 | -0.59
47 | 06:33:59 | 14.25 | 0.08
48 | 06:34:17 | 14.34 | 0.09
49 | 06:34:29 | 14.345 | 0.005
50 | 06:34:41 | 14.375 | 0.030
51 | 06:34:53 | 14.34 | -0.035
52 | 06:35:14 | 16.4 | 2.06
53 | 06:35:32 | 14.06 | -2.34
54 | 06:35:52 | 14.03 | -0.03
55 | 06:36:10 | 14.06 | 0.03
56 | 06:36:30 | 14.05 | -0.01
57 | 06:36:50 | 14.02 | -0.03
58 | 06:37:02 | 14.48 | 0.46
59 | 06:37:16 | 14.15 | -0.33
60 | 06:37:44 | 14.17 | 0.02
61 | 06:38:04 | 14.401 | 0.231
62 | 06:38:16 | 14.275 | -0.126
63 | 06:38:28 | 14.29 | 0.015
64 | 06:38:40 | 14.3 | 0.01
65 | 06:39:03 | 13.413 | -0.887
66 | 06:39:23 | 14.03 | 0.617
67 | 06:39:43 | 14.06 | 0.03
68 | 06:40:01 | 14.08 | 0.02
69 | 06:40:21 | 14.03 | -0.05
70 | 06:40:39 | 14.04 | 0.01
71 | 06:40:53 | 14.68 | 0.64
72 | 06:41:07 | 13.96 | -0.72
73 | 06:41:35 | 14.25 | 0.29
74 | 06:41:57 | 14.33 | 0.08
75 | 06:42:09 | 14.3 | -0.03
76 | 06:42:21 | 14.295 | -0.005
77 | 06:42:33 | 14.34 | 0.045
78 | 06:42:53 | 14.128 | -0.212
79 | 06:43:13 | 14.06 | -0.068
80 | 06:43:33 | 14.03 | -0.03
81 | 06:43:55 | 14 | -0.03
82 | 06:44:15 | 14.03 | 0.03
83 | 06:44:35 | 14.03 | 0.00
84 | 06:44:47 | 13.49 | -0.54
85 | 06:45:11 | 13.85 | 0.36
86 | 06:45:41 | 14.26 | 0.41
87 | 06:45:53 | 14.315 | 0.055
88 | 06:46:05 | 14.31 | -0.005
89 | 06:46:17 | 14.305 | -0.005
90 | 06:46:33 | 14.283 | -0.022
91 | 06:46:54 | 14.06 | -0.223
92 | 06:47:14 | 14.03 | -0.03
93 | 06:47:32 | 14.06 | 0.03
94 | 06:47:52 | 14.04 | -0.02
95 | 06:48:14 | 14 | -0.04
96 | 06:48:30 | 13.84 | -0.16
97 | 06:48:42 | 14.49 | 0.65
98 | 06:49:12 | 14.08 | -0.41
99 | 06:49:32 | 14.284 | 0.204
100 | 06:49:44 | 14.31 | 0.026
