No | Oxygen Debit (mol/s) | Oxygen Permeatation | Sequence Discreapancy
1 | 10 | 6.54274005800152E-13 | 0
2 | 20 | 1.3085480116003E-12 | -6.54274005800148E-13
3 | 30 | 1.96282201740045E-12 | -6.5427400580015E-13
4 | 40 | 2.61709602320061E-12 | -6.5427400580016E-13
5 | 50 | 3.27137002900076E-12 | -6.5427400580015E-13
6 | 60 | 3.92564403480091E-12 | -6.5427400580015E-13
7 | 70 | 4.57991804060106E-12 | -6.5427400580015E-13
8 | 80 | 5.23419204640121E-12 | -6.5427400580015E-13
9 | 90 | 5.88846605220136E-12 | -6.5427400580015E-13
10 | 100 | 6.54274005800152E-12 | -6.5427400580016E-13
11 | 110 | 7.19701406380167E-12 | -6.5427400580015E-13
12 | 120 | 7.85128806960182E-12 | -6.54274005800149E-13
13 | 130 | 8.50556207540197E-12 | -6.54274005800151E-13
14 | 140 | 9.15983608120212E-12 | -6.54274005800149E-13
15 | 150 | 9.81411008700227E-12 | -6.54274005800149E-13
16 | 160 | 1.04683840928024E-11 | -6.54274005800132E-13
17 | 170 | 1.11226580986026E-11 | -6.54274005800199E-13
18 | 180 | 1.17769321044027E-11 | -6.54274005800099E-13
19 | 190 | 1.24312061102029E-11 | -6.54274005800201E-13
20 | 200 | 1.3085480116003E-11 | -6.54274005800099E-13
21 | 210 | 1.37397541218032E-11 | -6.54274005800199E-13
22 | 220 | 1.43940281276033E-11 | -6.54274005800101E-13
23 | 230 | 1.50483021334035E-11 | -6.54274005800199E-13
24 | 240 | 1.57025761392036E-11 | -6.54274005800101E-13
25 | 250 | 1.63568501450038E-11 | -6.54274005800201E-13
26 | 260 | 1.70111241508039E-11 | -6.54274005800098E-13
27 | 270 | 1.76653981566041E-11 | -6.54274005800201E-13
28 | 280 | 1.83196721624042E-11 | -6.54274005800101E-13
29 | 290 | 1.89739461682044E-11 | -6.54274005800198E-13
30 | 300 | 1.96282201740045E-11 | -6.54274005800101E-13
31 | 310 | 2.02824941798047E-11 | -6.54274005800201E-13
32 | 320 | 2.09367681856049E-11 | -6.54274005800198E-13
33 | 330 | 2.1591042191405E-11 | -6.54274005800101E-13
34 | 340 | 2.22453161972052E-11 | -6.54274005800201E-13
35 | 350 | 2.28995902030053E-11 | -6.54274005800101E-13
36 | 360 | 2.35538642088055E-11 | -6.54274005800198E-13
37 | 370 | 2.42081382146056E-11 | -6.54274005800101E-13
38 | 380 | 2.48624122204058E-11 | -6.54274005800201E-13
39 | 390 | 2.55166862262059E-11 | -6.54274005800098E-13
